Date,Volume,PctChange,Lag1,Lag2,Lag3,Lag4,Lag5,Direction
1980-01-02,40610000,inf,,,,,,Up
1980-01-03,50480000,inf,inf,,,,,Up
1980-01-04,39130000,inf,inf,inf,,,,Up
1980-01-07,44500000,inf,inf,inf,inf,,,Up
1980-01-08,53390000,inf,inf,inf,inf,inf,,Up
1980-01-09,65260000,inf,inf,inf,inf,inf,inf,Up
1980-01-10,55980000,inf,inf,inf,inf,inf,inf,Up
1980-01-11,52890000,inf,inf,inf,inf,inf,inf,Up
1980-01-14,52930000,inf,inf,inf,inf,inf,inf,Up
1980-01-15,52320000,inf,inf,inf,inf,inf,inf,Up
1980-01-16,67700000,inf,inf,inf,inf,inf,inf,Up
1980-01-17,54170000,inf,inf,inf,inf,inf,inf,Up
1980-01-18,47150000,inf,inf,inf,inf,inf,inf,Up
1980-01-21,48040000,inf,inf,inf,inf,inf,inf,Up
1980-01-22,50620000,inf,inf,inf,inf,inf,inf,Up
1980-01-23,50730000,inf,inf,inf,inf,inf,inf,Up
1980-01-24,59070000,inf,inf,inf,inf,inf,inf,Up
1980-01-25,47100000,inf,inf,inf,inf,inf,inf,Up
1980-01-28,53620000,inf,inf,inf,inf,inf,inf,Up
1980-01-29,55480000,inf,inf,inf,inf,inf,inf,Up
1980-01-30,51170000,inf,inf,inf,inf,inf,inf,Up
1980-01-31,65900000,inf,inf,inf,inf,inf,inf,Up
1980-02-01,46610000,inf,inf,inf,inf,inf,inf,Up
1980-02-04,43070000,inf,inf,inf,inf,inf,inf,Up
1980-02-05,41880000,inf,inf,inf,inf,inf,inf,Up
1980-02-06,51950000,inf,inf,inf,inf,inf,inf,Up
1980-02-07,57690000,inf,inf,inf,inf,inf,inf,Up
1980-02-08,57860000,inf,inf,inf,inf,inf,inf,Up
1980-02-11,58660000,inf,inf,inf,inf,inf,inf,Up
1980-02-12,48090000,inf,inf,inf,inf,inf,inf,Up
1980-02-13,65230000,inf,inf,inf,inf,inf,inf,Up
1980-02-14,50540000,inf,inf,inf,inf,inf,inf,Up
1980-02-15,46680000,inf,inf,inf,inf,inf,inf,Up
1980-02-19,39480000,inf,inf,inf,inf,inf,inf,Up
1980-02-20,44340000,inf,inf,inf,inf,inf,inf,Up
1980-02-21,51530000,inf,inf,inf,inf,inf,inf,Up
1980-02-22,48210000,inf,inf,inf,inf,inf,inf,Up
1980-02-25,39140000,inf,inf,inf,inf,inf,inf,Up
1980-02-26,40000000,inf,inf,inf,inf,inf,inf,Up
1980-02-27,46430000,inf,inf,inf,inf,inf,inf,Up
1980-02-28,40330000,inf,inf,inf,inf,inf,inf,Up
1980-02-29,38810000,inf,inf,inf,inf,inf,inf,Up
1980-03-03,38690000,inf,inf,inf,inf,inf,inf,Up
1980-03-04,44310000,inf,inf,inf,inf,inf,inf,Up
1980-03-05,49240000,inf,inf,inf,inf,inf,inf,Up
1980-03-06,49610000,inf,inf,inf,inf,inf,inf,Up
1980-03-07,50950000,inf,inf,inf,inf,inf,inf,Up
1980-03-10,43750000,inf,inf,inf,inf,inf,inf,Up
1980-03-11,41350000,inf,inf,inf,inf,inf,inf,Up
1980-03-12,37990000,inf,inf,inf,inf,inf,inf,Up
1980-03-13,33070000,inf,inf,inf,inf,inf,inf,Up
1980-03-14,35180000,inf,inf,inf,inf,inf,inf,Up
1980-03-17,37020000,inf,inf,inf,inf,inf,inf,Up
1980-03-18,47340000,inf,inf,inf,inf,inf,inf,Up
1980-03-19,36520000,inf,inf,inf,inf,inf,inf,Up
1980-03-20,32580000,inf,inf,inf,inf,inf,inf,Up
1980-03-21,32220000,inf,inf,inf,inf,inf,inf,Up
1980-03-24,39230000,inf,inf,inf,inf,inf,inf,Up
1980-03-25,43790000,inf,inf,inf,inf,inf,inf,Up
1980-03-26,37370000,inf,inf,inf,inf,inf,inf,Up
1980-03-27,63680000,inf,inf,inf,inf,inf,inf,Up
1980-03-28,46720000,inf,inf,inf,inf,inf,inf,Up
1980-03-31,35840000,inf,inf,inf,inf,inf,inf,Up
1980-04-01,32230000,inf,inf,inf,inf,inf,inf,Up
1980-04-02,35210000,inf,inf,inf,inf,inf,inf,Up
1980-04-03,27970000,inf,inf,inf,inf,inf,inf,Up
1980-04-07,29130000,inf,inf,inf,inf,inf,inf,Up
1980-04-08,31700000,inf,inf,inf,inf,inf,inf,Up
1980-04-09,33020000,inf,inf,inf,inf,inf,inf,Up
1980-04-10,33940000,inf,inf,inf,inf,inf,inf,Up
1980-04-11,29960000,inf,inf,inf,inf,inf,inf,Up
1980-04-14,23060000,inf,inf,inf,inf,inf,inf,Up
1980-04-15,26670000,inf,inf,inf,inf,inf,inf,Up
1980-04-16,39730000,inf,inf,inf,inf,inf,inf,Up
1980-04-17,32770000,inf,inf,inf,inf,inf,inf,Up
1980-04-18,26880000,inf,inf,inf,inf,inf,inf,Up
1980-04-21,27560000,inf,inf,inf,inf,inf,inf,Up
1980-04-22,47920000,inf,inf,inf,inf,inf,inf,Up
1980-04-23,42620000,inf,inf,inf,inf,inf,inf,Up
1980-04-24,35790000,inf,inf,inf,inf,inf,inf,Up
1980-04-25,28590000,inf,inf,inf,inf,inf,inf,Up
1980-04-28,30600000,inf,inf,inf,inf,inf,inf,Up
1980-04-29,27940000,inf,inf,inf,inf,inf,inf,Up
1980-04-30,30850000,inf,inf,inf,inf,inf,inf,Up
1980-05-01,32480000,inf,inf,inf,inf,inf,inf,Up
1980-05-02,28040000,inf,inf,inf,inf,inf,inf,Up
1980-05-05,34090000,inf,inf,inf,inf,inf,inf,Up
1980-05-06,40160000,inf,inf,inf,inf,inf,inf,Up
1980-05-07,42600000,inf,inf,inf,inf,inf,inf,Up
1980-05-08,39280000,inf,inf,inf,inf,inf,inf,Up
1980-05-09,30280000,inf,inf,inf,inf,inf,inf,Up
1980-05-12,28220000,inf,inf,inf,inf,inf,inf,Up
1980-05-13,35460000,inf,inf,inf,inf,inf,inf,Up
1980-05-14,40840000,inf,inf,inf,inf,inf,inf,Up
1980-05-15,41120000,inf,inf,inf,inf,inf,inf,Up
1980-05-16,31710000,inf,inf,inf,inf,inf,inf,Up
1980-05-19,30970000,inf,inf,inf,inf,inf,inf,Up
1980-05-20,31800000,inf,inf,inf,inf,inf,inf,Up
1980-05-21,34830000,inf,inf,inf,inf,inf,inf,Up
1980-05-22,41040000,inf,inf,inf,inf,inf,inf,Up
1980-05-23,45790000,inf,inf,inf,inf,inf,inf,Up
1980-05-27,40810000,inf,inf,inf,inf,inf,inf,Up
1980-05-28,38580000,inf,inf,inf,inf,inf,inf,Up
1980-05-29,42000000,inf,inf,inf,inf,inf,inf,Up
1980-05-30,34820000,inf,inf,inf,inf,inf,inf,Up
1980-06-02,32710000,inf,inf,inf,inf,inf,inf,Up
1980-06-03,33150000,inf,inf,inf,inf,inf,inf,Up
1980-06-04,44180000,inf,inf,inf,inf,inf,inf,Up
1980-06-05,49070000,inf,inf,inf,inf,inf,inf,Up
1980-06-06,37230000,inf,inf,inf,inf,inf,inf,Up
1980-06-09,36820000,inf,inf,inf,inf,inf,inf,Up
1980-06-10,42030000,inf,inf,inf,inf,inf,inf,Up
1980-06-11,43800000,inf,inf,inf,inf,inf,inf,Up
1980-06-12,47300000,inf,inf,inf,inf,inf,inf,Up
1980-06-13,41880000,inf,inf,inf,inf,inf,inf,Up
1980-06-16,36190000,inf,inf,inf,inf,inf,inf,Up
1980-06-17,41990000,inf,inf,inf,inf,inf,inf,Up
1980-06-18,41960000,inf,inf,inf,inf,inf,inf,Up
1980-06-19,38280000,inf,inf,inf,inf,inf,inf,Up
1980-06-20,36530000,inf,inf,inf,inf,inf,inf,Up
1980-06-23,34180000,inf,inf,inf,inf,inf,inf,Up
1980-06-24,37730000,inf,inf,inf,inf,inf,inf,Up
1980-06-25,46500000,inf,inf,inf,inf,inf,inf,Up
1980-06-26,45110000,inf,inf,inf,inf,inf,inf,Up
1980-06-27,33110000,inf,inf,inf,inf,inf,inf,Up
1980-06-30,29910000,inf,inf,inf,inf,inf,inf,Up
1980-07-01,34340000,inf,inf,inf,inf,inf,inf,Up
1980-07-02,42950000,inf,inf,inf,inf,inf,inf,Up
1980-07-03,47230000,inf,inf,inf,inf,inf,inf,Up
1980-07-07,42540000,inf,inf,inf,inf,inf,inf,Up
1980-07-08,45830000,inf,inf,inf,inf,inf,inf,Up
1980-07-09,52010000,inf,inf,inf,inf,inf,inf,Up
1980-07-10,43730000,inf,inf,inf,inf,inf,inf,Up
1980-07-11,38310000,inf,inf,inf,inf,inf,inf,Up
1980-07-14,45500000,inf,inf,inf,inf,inf,inf,Up
1980-07-15,60920000,inf,inf,inf,inf,inf,inf,Up
1980-07-16,49140000,inf,inf,inf,inf,inf,inf,Up
1980-07-17,48850000,inf,inf,inf,inf,inf,inf,Up
1980-07-18,58040000,inf,inf,inf,inf,inf,inf,Up
1980-07-21,42750000,inf,inf,inf,inf,inf,inf,Up
1980-07-22,52230000,inf,inf,inf,inf,inf,inf,Up
1980-07-23,45890000,inf,inf,inf,inf,inf,inf,Up
1980-07-24,42420000,inf,inf,inf,inf,inf,inf,Up
1980-07-25,36250000,inf,inf,inf,inf,inf,inf,Up
1980-07-28,35330000,inf,inf,inf,inf,inf,inf,Up
1980-07-29,44840000,inf,inf,inf,inf,inf,inf,Up
1980-07-30,58060000,inf,inf,inf,inf,inf,inf,Up
1980-07-31,54610000,inf,inf,inf,inf,inf,inf,Up
1980-08-01,46440000,inf,inf,inf,inf,inf,inf,Up
1980-08-04,41550000,inf,inf,inf,inf,inf,inf,Up
1980-08-05,45510000,inf,inf,inf,inf,inf,inf,Up
1980-08-06,45050000,inf,inf,inf,inf,inf,inf,Up
1980-08-07,61820000,inf,inf,inf,inf,inf,inf,Up
1980-08-08,58860000,inf,inf,inf,inf,inf,inf,Up
1980-08-11,44690000,inf,inf,inf,inf,inf,inf,Up
1980-08-12,52050000,inf,inf,inf,inf,inf,inf,Up
1980-08-13,44350000,inf,inf,inf,inf,inf,inf,Up
1980-08-14,47700000,inf,inf,inf,inf,inf,inf,Up
1980-08-15,47780000,inf,inf,inf,inf,inf,inf,Up
1980-08-18,41890000,inf,inf,inf,inf,inf,inf,Up
1980-08-19,41930000,inf,inf,inf,inf,inf,inf,Up
1980-08-20,42560000,inf,inf,inf,inf,inf,inf,Up
1980-08-21,50770000,inf,inf,inf,inf,inf,inf,Up
1980-08-22,58210000,inf,inf,inf,inf,inf,inf,Up
1980-08-25,35400000,inf,inf,inf,inf,inf,inf,Up
1980-08-26,41700000,inf,inf,inf,inf,inf,inf,Up
1980-08-27,44000000,inf,inf,inf,inf,inf,inf,Up
1980-08-28,39890000,inf,inf,inf,inf,inf,inf,Up
1980-08-29,33510000,inf,inf,inf,inf,inf,inf,Up
1980-09-02,35290000,inf,inf,inf,inf,inf,inf,Up
1980-09-03,52370000,inf,inf,inf,inf,inf,inf,Up
1980-09-04,59030000,inf,inf,inf,inf,inf,inf,Up
1980-09-05,37990000,inf,inf,inf,inf,inf,inf,Up
1980-09-08,42050000,inf,inf,inf,inf,inf,inf,Up
1980-09-09,44460000,inf,inf,inf,inf,inf,inf,Up
1980-09-10,51430000,inf,inf,inf,inf,inf,inf,Up
1980-09-11,44770000,inf,inf,inf,inf,inf,inf,Up
1980-09-12,47180000,inf,inf,inf,inf,inf,inf,Up
1980-09-15,44630000,inf,inf,inf,inf,inf,inf,Up
1980-09-16,57290000,inf,inf,inf,inf,inf,inf,Up
1980-09-17,63990000,inf,inf,inf,inf,inf,inf,Up
1980-09-18,63390000,inf,inf,inf,inf,inf,inf,Up
1980-09-19,53780000,inf,inf,inf,inf,inf,inf,Up
1980-09-22,53140000,inf,inf,inf,inf,inf,inf,Up
